Rainfall ,Temperature ,Humidity ,Wind Speed ,Solar Radiation,Soil pH,Soil Moisture ,Organic Matter Content ,Nitrogen ,Phosphorus ,Potassium ,Crop Type,Plant Population ,Fertilizer Application Rate ,Tillage Practice,Sowing Date,Weeding Frequency (per season),Crop Yield
143.6350297,28.57993817,76.0133962,3.444378447,103.0811263,7.054994088,44.27640075,7.585855681,12.39919524,73.7444274,42.88032453,Yam,43654,97.24,Conventional,18-03-2022,2,Medium
287.6785766,32.08148494,74.36415022,0.860146564,100.2311115,5.145791985,33.37854811,2.989673802,10.71645112,76.26602055,20.42995527,Soybean,35795,50.57,No-till,17-06-2022,3,Low
232.9984855,31.40241395,44.78770993,1.590484152,430.5844226,5.71323893,12.78534478,6.714383126,30.19379224,5.330760049,23.89951475,Rice,20860,152.25,Strip-till,11-06-2022,3,Low
199.664621,22.30849857,86.12862025,3.981557059,120.5055935,6.821482229,55.92550753,7.142389576,81.93888532,28.78062735,29.8738241,Yam,25390,75.07,No-till,03-05-2022,2,Medium
89.00466011,22.23874205,68.42361011,2.879086342,782.1727876,6.187312706,59.01645664,3.778625412,91.42728924,67.80335221,32.40186678,Rice,49802,148.29,No-till,27-06-2022,1,Low
88.99863008,24.02261552,58.18627606,4.675860778,255.4456222,7.084998635,31.55217076,5.011730379,45.25915293,45.2333904,36.64879901,Cassava,41575,198.76,Strip-till,16-05-2022,2,Low
64.52090304,25.4161209,77.82692917,2.429381338,430.8653106,7.864227654,40.68304037,4.335787359,60.68787369,65.56315501,38.10060319,Rice,31964,60.9,Strip-till,25-06-2022,3,Low
266.5440364,26.12683372,52.86827292,4.414155646,142.796341,4.907913407,32.51493131,9.499815465,73.54473418,68.99924621,60.128798,Rice,31284,61.56,Conventional,12-06-2022,3,Low
200.2787529,30.19545825,74.67549185,2.520299469,465.4338913,6.983487007,26.09398254,3.539514192,95.76430293,38.1969665,66.05305099,Maize,42118,101.06,Conventional,30-03-2022,4,Medium
227.0181444,20.85020648,41.98556038,4.906617254,365.9692876,5.306204545,13.86593964,2.241568901,92.16390136,31.92372035,43.97671289,Yam,26265,179.96,Conventional,25-06-2022,1,Low
55.14612357,20.52009056,81.97040188,4.819254716,131.2620202,5.950668546,32.80338652,3.973132007,15.1473073,39.15749495,109.8026062,Soybean,36850,82.33,Conventional,18-04-2022,4,Low
292.477463,25.87865844,62.40854235,1.981115175,334.5869867,4.61501954,50.91922782,6.860399222,32.33492589,53.9596402,70.84536957,Maize,49910,104.06,Strip-till,10-04-2022,3,Low
258.1106602,30.45745538,71.83464572,4.486656517,374.0052142,4.975675838,10.85157305,7.124945558,14.42300896,32.53693647,96.62246208,Rice,24426,60.28,No-till,24-06-2022,3,Low
103.0847777,22.90153014,51.06189099,4.314251184,792.9450439,5.619220512,39.10538416,9.278544496,65.48881789,63.12412165,111.6661616,Cassava,41962,164.47,Conventional,13-03-2022,4,Medium
95.4562418,29.62256722,73.85368563,1.448061788,245.5201103,5.696950319,54.03860544,8.876667606,73.94439848,72.79945953,27.9448626,Soybean,34423,111.25,Conventional,03-04-2022,4,Low
95.85112746,23.89742207,78.61201379,3.309306804,481.3457308,7.648548258,20.8774715,3.239044944,37.74550711,26.17334016,57.06619321,Cassava,48020,163.89,Strip-till,08-06-2022,3,Low
126.0605607,33.29129163,63.66065934,0.82707042,791.1208844,7.096345182,19.16279323,4.824050865,86.84667173,77.37422331,57.65314419,Rice,31363,185.54,Strip-till,02-06-2022,4,Low
181.1891079,33.43534916,70.8863462,4.265198243,654.4134456,7.902640389,48.61383129,7.599055388,50.75314754,51.7043935,48.99194755,Cassava,47495,84.91,No-till,25-03-2022,4,Low
157.9862547,24.45930806,62.81629619,1.285456476,795.3572506,6.596750286,22.75432156,9.207104166,99.85433636,70.86265784,10.97964532,Maize,36023,171.11,No-till,05-05-2022,1,Medium
122.807285,23.44990631,84.70456846,0.818666156,777.8088203,5.345998062,19.59921338,3.703067622,10.03597233,12.79373265,99.75693186,Cassava,28322,58.86,Strip-till,08-06-2022,3,Low
202.9632237,26.16955958,64.89345903,2.30098593,442.6776795,5.646792605,28.89946253,4.722193625,19.85407376,23.86243528,22.27152537,Maize,21685,184.83,Conventional,18-03-2022,2,Medium
84.87346516,23.60797378,82.09043545,3.096149624,587.4630949,5.619425732,29.62510061,9.045043569,37.16139186,29.07643096,119.5028658,Yam,20769,147.62,Conventional,05-03-2022,1,Low
123.0361621,30.08575765,80.06760291,4.347126314,177.3101889,5.642730147,53.70505315,3.905596795,12.29568382,27.71166134,95.02543411,Soybean,46967,181.13,Conventional,19-03-2022,2,Medium
141.5904608,32.39097027,60.52524107,4.884091365,408.8041775,6.855374606,40.9221736,5.064873369,80.4105512,17.88958674,73.80110194,Cassava,43333,50.03,No-till,11-04-2022,4,Low
164.0174961,30.09638196,51.50422459,2.477716307,666.3129796,6.357827748,30.29807282,9.092789342,14.74946091,70.11507106,27.00670595,Maize,22433,75.36,Conventional,18-03-2022,4,Medium
246.2939903,32.36525671,60.30410663,0.772011153,453.7347247,5.848984623,36.71939821,8.121310571,77.408167,36.3959106,66.69322685,Rice,25311,108.46,Conventional,29-06-2022,2,Low
99.91844554,25.95488243,81.31086879,3.871020106,591.889323,5.021814191,57.69826167,2.812593788,14.73116129,77.23476594,38.72196149,Rice,25051,106.93,Strip-till,01-04-2022,4,Low
178.5586096,22.34475456,51.38162679,3.043279653,622.025931,4.57748707,15.66073383,3.585553121,32.74545382,48.76042751,37.7554777,Maize,26420,84.01,Conventional,21-03-2022,4,Low
198.1036422,31.06926421,66.22181729,2.515511052,277.4283989,5.265921372,20.38577609,3.853107911,85.71491341,15.37959767,101.2482174,Soybean,37568,107.24,Strip-till,10-03-2022,1,Medium
61.61260318,25.40711758,80.3048374,1.891709955,712.9895611,4.876149914,58.12643533,9.171015498,95.59857648,45.94285324,51.87088664,Yam,40939,69.33,Conventional,06-04-2022,2,Low
201.886213,30.06906238,57.67387376,2.760793375,421.8757016,7.249057608,57.86624243,9.989870502,47.30737084,79.51588608,59.57961837,Yam,39769,111.91,No-till,18-04-2022,1,Medium
92.63103092,24.05965913,72.11048185,2.02405822,247.1295725,4.893742852,18.85827106,7.85304087,97.29450679,47.38787653,102.7261212,Soybean,48693,170.35,Conventional,25-05-2022,2,Low
66.26289825,21.21844452,52.2815787,3.906553405,705.7911173,7.034798831,17.25544086,5.101099874,66.41928314,5.140200885,19.65696883,Cassava,26396,121.86,Conventional,13-03-2022,1,Low
287.2213843,34.88872693,45.46397227,2.947521634,392.4731643,5.849805414,31.05425672,0.596651272,47.42516102,74.98099277,75.40796384,Maize,49419,52.7,Strip-till,24-04-2022,3,Low
291.4080083,22.34302262,79.71921125,4.445814984,625.2187069,4.756824364,12.48591462,7.126136538,82.25212096,22.61708046,73.60372495,Yam,47480,113.22,Strip-till,17-03-2022,3,Low
252.099337,34.82631491,44.94843117,2.945947616,483.6231506,7.344555173,42.74517661,4.198931063,36.57956681,56.63967898,56.77360262,Soybean,28666,54.08,Strip-till,09-03-2022,2,Low
126.1534423,34.65919899,53.56906975,1.57218086,367.3102266,6.528706996,13.87480108,6.513371467,33.92166352,43.63101162,101.2752106,Yam,45658,194.94,Conventional,27-05-2022,3,Low
74.4180285,31.90727156,82.7554711,4.32991347,666.9134905,5.325165295,12.90148135,6.263592653,69.08929092,29.40753176,113.7179067,Yam,38942,69.12,Conventional,13-04-2022,1,Low
221.0582566,29.89134443,57.32346435,3.007485702,509.1289522,7.63138411,34.25934681,5.067904537,45.14386258,26.19796428,61.18694481,Cassava,44233,156.15,No-till,17-05-2022,2,Medium
160.0381234,28.66710575,88.65226748,1.430784672,373.3934717,4.658404099,57.88933181,9.471680278,22.23262243,74.65698969,60.17617561,Yam,38431,195.92,Conventional,15-04-2022,3,Low
80.50955871,32.99152318,88.98671674,3.305785145,176.7185092,5.206368629,31.3397968,0.719890281,16.02678118,73.39444219,65.22701026,Maize,22747,173.91,No-till,08-03-2022,3,Low
173.7942275,24.34159282,53.41380102,2.109725442,726.8117196,7.132164247,27.82405793,7.265258602,80.90583186,43.485113,89.54364339,Soybean,45551,154.9,Strip-till,27-06-2022,2,Medium
58.59713028,27.01521819,42.04891111,4.299825255,124.8287097,6.982822756,59.89783578,4.393478749,70.83196586,24.38713967,83.48663198,Cassava,46382,175.92,Strip-till,06-04-2022,3,Low
277.3301005,29.29084954,75.25316421,2.539848824,704.2311439,5.512450928,36.59844804,7.28100928,47.06184021,12.67565241,34.51184441,Cassava,20189,197.27,Strip-till,19-03-2022,3,High
114.6949954,26.16785714,62.54932513,3.768986111,351.9730674,4.717087064,28.76207034,6.914586652,90.66048717,16.74322871,17.02848835,Soybean,39118,143.2,No-till,02-05-2022,2,Low
215.6305711,26.41229681,45.0376422,0.929912934,547.5371345,7.503273253,29.29304067,0.597261024,46.97710772,44.16887943,114.4179543,Maize,23005,133.88,Conventional,31-05-2022,3,Low
127.927769,24.95427001,75.37614095,2.282109558,745.5398067,5.597941733,19.7479748,3.210715704,73.92659243,28.08724704,38.71767357,Yam,41042,144.24,Strip-till,15-04-2022,3,Low
180.0170053,28.46347725,41.55874546,4.924586464,206.1946309,5.184996952,35.61115287,2.296369445,91.82037477,8.155110669,80.24563532,Yam,21899,129.9,Conventional,13-06-2022,3,Medium
186.6775698,32.75861792,83.50983452,4.138071303,496.8653329,6.306216378,31.94275141,2.086370353,85.66439128,39.1375539,101.1281803,Maize,44118,145.26,Conventional,02-06-2022,3,Low
96.21361388,23.02292567,46.93262646,1.219733611,635.1030037,7.685795197,23.53976482,7.420528499,55.99942987,60.96419693,43.03044256,Rice,21267,117.48,Strip-till,10-05-2022,4,Low
292.3961569,34.01649558,46.36559394,1.749938223,630.3086829,4.652413022,18.02700433,2.775737816,71.25727532,71.8771337,79.8976755,Soybean,37912,82.77,No-till,30-06-2022,2,Low
243.7832058,30.33631481,48.7836149,1.98417114,467.9423402,7.180314308,25.56194343,5.010007342,47.22991991,48.89630343,21.86902653,Maize,31394,68.04,Conventional,26-03-2022,4,Medium
284.8747354,32.34909819,88.01331792,3.426645022,537.3176219,6.503656298,35.43416638,2.846395455,68.24774551,59.24690929,116.6924589,Yam,23556,60.25,Strip-till,12-06-2022,4,Low
273.7068376,28.34286039,74.65846801,3.906476418,630.2688959,5.989071908,12.91666361,6.012221323,33.17971945,32.30528531,16.39741026,Soybean,23890,89.5,Conventional,15-04-2022,1,Low
199.4749947,31.69275052,80.06857677,3.87286974,688.7193464,7.104281554,17.68720143,7.345450797,49.12679024,42.21786344,58.19921412,Soybean,28838,56.92,Conventional,26-06-2022,4,Low
280.4685588,20.24300596,59.88174929,2.794433253,633.2691678,7.880385486,57.38286335,3.645210018,28.85911638,59.72201424,69.05011663,Yam,47464,135.08,Conventional,15-04-2022,4,Medium
